SampleName,SampleID,mean,stdev,max,n_reads,percentage
Ebritti822-cap.fq.gz,1,39.66,22.37,343,1641484,82.1
Lferxi9829-cap.fq.gz,2,43.76,21.95,359,1713815,85.7
Pulochir76.fq.gz,3,32.64,21.2,402,1393796,83.7
Ajordani86-cap.fq.gz,4,38.35,26.85,306,1688163,84.4
Lrutteri56.fq.gz,5,10.39,8.14,151,356193,76.5
Ecaudatus2-cap.fq.gz,6,41.67,20.59,275,1739516,87
Pdactyl08.fq.gz,7,7.94,5.24,49,92529,73
Ccandidus-cap.fq.gz,8,36.26,23.23,370,1646506,82.3
Ecaudatus3.fq.gz,9,23.79,19.06,580,1228358,85.3
Ccfcypselur-cap.fq.gz,10,30.19,24.74,367,1615615,80.8
Pdactyl51-cap.fq.gz,11,38.97,21.7,461,1653266,82.7
Ccfmelanu2-cap.fq.gz,12,39.38,25.47,303,1722340,86.1
Lnanus2476-cap.fq.gz,13,35.44,24.54,257,1635833,81.8
Crystall87.fq.gz,14,13.24,12.08,555,157802,73.2
Cscottae04-cap.fq.gz,16,41.23,25.97,303,1663351,83.2
Ajordani89-cap.fq.gz,18,37.5,25.71,347,1629692,81.5
Ajordan521-cap.fq.gz,19,31.93,22.87,396,1583529,79.2
Ccomus970-cap.fq.gz,21,34.06,22.33,728,1588869,79.4
Eorbis821-cap.fq.gz,22,39.88,21.06,419,1610505,80.5
Ecaudatus4-cap.fq.gz,23,40.74,22.66,287,1692492,84.6
Cmelanu88.fq.gz,24,32.69,28.15,306,1204261,83.6
Lflorae666-cap.fq.gz,25,35.09,21.19,322,1606418,80.3
Ajordan522-cap.fq.gz,26,29.38,22.19,565,1548905,77.4
Pptychoman-cap.fq.gz,27,37.24,22.16,414,1648153,82.4
Ecaudatus1-cap.fq.gz,28,34.03,24.06,643,1725353,86.3
Cgilberti81-cap.fq.gz,29,38.27,22.62,316,1631280,81.6
Npelagicus-cap.fq.gz,30,33.04,20.27,454,1534884,76.7
Ccandidu2.fq.gz,31,9.07,6.62,327,183874,75.2
Ccomus971-cap.fq.gz,33,33.33,23.02,629,1595813,79.8
Lgibbus176-cap.fq.gz,34,36.84,21.33,426,1662689,83.1
Cfaunus841.fq.gz,35,11.37,8.9,554,375824,76.8
Aungak696-cap.fq.gz,36,36.33,25.18,279,1613869,80.7
Ccfmelanu1-cap.fq.gz,37,41.19,27.74,419,1688440,84.4
Cstauffe96-cap.fq.gz,38,35.77,23.92,433,1596591,79.8
Eorbis461-cap.fq.gz,39,35.46,22.47,387,1636505,81.8
Cfurcellu98-cap.fq.gz,40,36.47,24.49,436,1619738,81
Cscottae02-cap.fq.gz,41,36.65,23.57,311,1695995,84.8
Cphasma07-cap.fq.gz,42,38.28,25.06,373,1703561,85.2
Crystalli2-cap.fq.gz,43,25.86,23.16,660,1529417,76.5
Crystalli1.fq.gz,44,22.07,20.23,1249,1289835,78.2
Cphasma61-cap.fq.gz,45,33.74,24.57,251,1691827,84.6
Lgibbus043-cap.fq.gz,46,32.66,21.99,610,1639637,82
Ppenicillu-cap.fq.gz,47,31.89,22.76,316,1579199,79
Rattenuatu-cap.fq.gz,48,32.02,20.4,899,1445219,72.3
